NAME                                    READY   STATUS      RESTARTS   AGE
web-deployment-7d6b8f9c4-k8xqp         1/1     Running     0          10m
web-deployment-7d6b8f9c4-m9nop         1/1     Running     0          10m
web-deployment-7d6b8f9c4-r2stu         1/1     Running     0          10m
api-deployment-5c7d9e8f3-ab12c         1/1     Running     2          2d
api-deployment-5c7d9e8f3-de34f         1/1     Running     0          2d
api-deployment-5c7d9e8f3-gh56i         1/1     Running     1          2d
worker-deployment-9a1b2c3d4-jk78l      1/1     Running     0          5h
worker-deployment-9a1b2c3d4-mn90o      1/1     Running     0          5h
cache-statefulset-0                    1/1     Running     0          7d
cache-statefulset-1                    1/1     Running     0          7d
db-statefulset-0                       1/1     Running     0          14d
db-statefulset-1                       1/1     Running     0          14d
db-statefulset-2                       0/1     Pending     0          3m
job-migrate-schema-xk8qp               0/1     Completed   0          1d
job-seed-data-ab2cd                    0/1     Completed   0          7d
ingress-nginx-controller-5f6g7h        1/1     Running     0          30d
cert-manager-7d8e9f0a1-bc2de           1/1     Running     0          30d
cert-manager-cainjector-3f4g5h6i       1/1     Running     0          30d
cert-manager-webhook-7j8k9l0m          1/1     Running     0          30d
